net_sales_amount,vat_amount,total,check1
60000.0,5455.0,65455.0,66000.0
24000.0,2182.0,26182.0,26400.000000000004
120000.0,10909.0,130909.0,132000.0
44000.0,4000.0,48000.0,48400.00000000001
23200.0,2109.0,25309.0,25520.000000000004
5000.0,455.0,5455.0,5500.0
5000.0,455.0,5455.0,5500.0
67200.0,6109.0,73309.0,73920.0
120000.0,10909.0,130909.0,132000.0
105000.0,9545.0,114545.0,115500.00000000001
